lago,fecha,par,metodo,muestra,n,coeficiente,p_valor
amatitlan,2026-06-19,CYA~NDWI,spearman,completa,34483,-0.7632818722310656,0.0
amatitlan,2026-06-19,CYA~NDWI,pearson,submuestra,1373,-0.6229072245258116,2.2387087931594258e-148
amatitlan,2026-06-19,CYA~NDWI,pearson_log10,submuestra,1373,-0.7296862291886318,1.3872764716312198e-228
amatitlan,2026-06-19,CYA~NDWI,spearman,submuestra,1373,-0.7651656709947063,1.8961400880955692e-264
atitlan,2025-01-18,CYA~NDVI,pearson,completa,134693,-0.05376419357327991,8.708667050111402e-87
atitlan,2025-01-18,CYA~NDVI,pearson_log10,completa,134693,-0.720403768298582,0.0
atitlan,2025-01-18,CYA~NDVI,spearman,completa,134693,-0.8002090233804433,0.0
atitlan,2025-01-18,CYA~NDVI,pearson,submuestra,5376,-0.0517228032275627,0.000148218041188466
atitlan,2025-01-18,CYA~NDVI,pearson_log10,submuestra,5376,-0.7161145364105852,0.0
atitlan,2025-01-18,CYA~NDVI,spearman,submuestra,5376,-0.793281277489454,0.0
atitlan,2025-01-18,CYA~NDWI,pearson,completa,134693,-0.2026988190908976,0.0
atitlan,2025-01-18,CYA~NDWI,pearson_log10,completa,134693,-0.26402519347239023,0.0
atitlan,2025-01-18,CYA~NDWI,spearman,completa,134693,-0.1231027193503333,0.0
atitlan,2025-01-18,CYA~NDWI,pearson,submuestra,5376,-0.2310453408066669,4.500811440879152e-66
atitlan,2025-01-18,CYA~NDWI,pearson_log10,submuestra,5376,-0.29124411702639996,1.3666874781653285e-105
atitlan,2025-01-18,CYA~NDWI,spearman,submuestra,5376,-0.14631479431934277,4.1162903796230615e-27
atitlan,2025-04-13,CYA~NDVI,pearson,completa,306692,0.002764473068076954,0.1257803217979567
atitlan,2025-04-13,CYA~NDVI,pearson_log10,completa,306692,0.17951597894791554,0.0
atitlan,2025-04-13,CYA~NDVI,spearman,completa,306692,0.07790483745314454,0.0
atitlan,2025-04-13,CYA~NDVI,pearson,submuestra,12276,0.015119025170421086,0.0939206012016536
atitlan,2025-04-13,CYA~NDVI,pearson_log10,submuestra,12276,0.1716559541534141,8.077219835871989e-82
atitlan,2025-04-13,CYA~NDVI,spearman,submuestra,12276,0.07827615553179607,3.7802109662403094e-18
atitlan,2025-04-13,CYA~NDWI,pearson,completa,306692,-0.028241207186480183,3.7098722215883656e-55
atitlan,2025-04-13,CYA~NDWI,pearson_log10,completa,306692,-0.7297493747086408,0.0
atitlan,2025-04-13,CYA~NDWI,spearman,completa,306692,-0.8048423665767943,0.0
atitlan,2025-04-13,CYA~NDWI,pearson,submuestra,12276,-0.20725957927834218,3.2942324193178956e-119
atitlan,2025-04-13,CYA~NDWI,pearson_log10,submuestra,12276,-0.7249269729397706,0.0
atitlan,2025-04-13,CYA~NDWI,spearman,submuestra,12276,-0.8015077161264522,0.0
atitlan,2025-05-13,CYA~NDVI,pearson,completa,306405,0.008338359761530138,3.918375817299869e-06
atitlan,2025-05-13,CYA~NDVI,pearson_log10,completa,306405,0.3337370546391658,0.0
atitlan,2025-05-13,CYA~NDVI,spearman,completa,306405,0.24273153770174405,0.0
atitlan,2025-05-13,CYA~NDVI,pearson,submuestra,12259,0.05004973946146515,2.949044243109858e-08
atitlan,2025-05-13,CYA~NDVI,pearson_log10,submuestra,12259,0.3366029784572506,1.9e-322
atitlan,2025-05-13,CYA~NDVI,spearman,submuestra,12259,0.24657765978007679,3.2480315570393063e-169
atitlan,2025-05-13,CYA~NDWI,pearson,completa,306405,-0.039968867902006947,1.5189332969392195e-108
atitlan,2025-05-13,CYA~NDWI,pearson_log10,completa,306405,-0.8460750956991996,0.0
atitlan,2025-05-13,CYA~NDWI,spearman,completa,306405,-0.875060173316166,0.0
atitlan,2025-05-13,CYA~NDWI,pearson,submuestra,12259,-0.2184310725307624,2.5057969039531485e-132
atitlan,2025-05-13,CYA~NDWI,pearson_log10,submuestra,12259,-0.8423112413924205,0.0
atitlan,2025-05-13,CYA~NDWI,spearman,submuestra,12259,-0.8686256193451928,0.0
atitlan,2025-07-17,CYA~NDVI,pearson,completa,299803,0.031750256019465954,1.0008210566610684e-67
atitlan,2025-07-17,CYA~NDVI,pearson_log10,completa,299803,0.09256536619833683,0.0
atitlan,2025-07-17,CYA~NDVI,spearman,completa,299803,-0.10035713366519164,0.0
atitlan,2025-07-17,CYA~NDVI,pearson,submuestra,11996,0.04449766754863151,1.0849483565960722e-06
atitlan,2025-07-17,CYA~NDVI,pearson_log10,submuestra,11996,0.09270082835417573,2.589699228836368e-24
atitlan,2025-07-17,CYA~NDVI,spearman,submuestra,11996,-0.09921643459004584,1.2508001479945964e-27
atitlan,2025-07-17,CYA~NDWI,pearson,completa,299803,-0.2555671434810214,0.0
atitlan,2025-07-17,CYA~NDWI,pearson_log10,completa,299803,-0.7923069450421504,0.0
atitlan,2025-07-17,CYA~NDWI,spearman,completa,299803,-0.8340489656673871,0.0
atitlan,2025-07-17,CYA~NDWI,pearson,submuestra,11996,-0.3394097945172602,3.666e-321
atitlan,2025-07-17,CYA~NDWI,pearson_log10,submuestra,11996,-0.789221420915502,0.0
atitlan,2025-07-17,CYA~NDWI,spearman,submuestra,11996,-0.8347111021751722,0.0
atitlan,2025-11-21,CYA~NDVI,pearson,completa,252444,-0.003331600072872088,0.09414651561306438
atitlan,2025-11-21,CYA~NDVI,pearson_log10,completa,252444,-0.3215735479442911,0.0
atitlan,2025-11-21,CYA~NDVI,spearman,completa,252444,-0.4014212812770538,0.0
atitlan,2025-11-21,CYA~NDVI,pearson,submuestra,10097,-0.005937449069082582,0.5508085212649203
atitlan,2025-11-21,CYA~NDVI,pearson_log10,submuestra,10097,-0.31406847328537335,5.674820950159149e-230
atitlan,2025-11-21,CYA~NDVI,spearman,submuestra,10097,-0.39847522821313974,0.0
atitlan,2025-11-21,CYA~NDWI,pearson,completa,252444,-0.08357624266685731,0.0
atitlan,2025-11-21,CYA~NDWI,pearson_log10,completa,252444,-0.34576197446714774,0.0
atitlan,2025-11-21,CYA~NDWI,spearman,completa,252444,-0.26375500761782705,0.0
atitlan,2025-11-21,CYA~NDWI,pearson,submuestra,10097,-0.16692129580916804,5.38182473392697e-64
atitlan,2025-11-21,CYA~NDWI,pearson_log10,submuestra,10097,-0.3433367072153328,2.5972155632869946e-277
atitlan,2025-11-21,CYA~NDWI,spearman,submuestra,10097,-0.26062824543580765,1.9124173093150491e-156
atitlan,2025-12-29,CYA~NDVI,pearson,completa,282924,-0.0140172509506822,8.905805185872378e-14
atitlan,2025-12-29,CYA~NDVI,pearson_log10,completa,282924,-0.3697611550846006,0.0
atitlan,2025-12-29,CYA~NDVI,spearman,completa,282924,-0.45360099348223937,0.0
atitlan,2025-12-29,CYA~NDVI,pearson,submuestra,11336,-0.023637663776125722,0.011842885794306908
atitlan,2025-12-29,CYA~NDVI,pearson_log10,submuestra,11336,-0.3717682679341573,0.0
atitlan,2025-12-29,CYA~NDVI,spearman,submuestra,11336,-0.45112059292212237,0.0
atitlan,2025-12-29,CYA~NDWI,pearson,completa,282924,-0.055975295290782795,4.294628555793444e-195
atitlan,2025-12-29,CYA~NDWI,pearson_log10,completa,282924,-0.19313173766715777,0.0
atitlan,2025-12-29,CYA~NDWI,spearman,completa,282924,-0.19816603145853023,0.0
atitlan,2025-12-29,CYA~NDWI,pearson,submuestra,11336,-0.08963919146202479,1.1534141758549444e-21
atitlan,2025-12-29,CYA~NDWI,pearson_log10,submuestra,11336,-0.19591743509087525,1.7912416376541676e-98
